5.45455E+01 7.77273E-03 1.14439E-01  1.76592E-46  1.73138E-46  1.75164E-46 0.00000E+00 0.00000E+00 
5.45455E+01 7.87374E-03 1.12236E-01  1.81208E-46  1.77665E-46  1.79743E-46 0.00000E+00 0.00000E+00 
5.41919E+01 8.58081E-03 1.27323E-01  2.17957E-46  2.13694E-46  2.16195E-46 0.00000E+00 0.00000E+00 
5.41919E+01 8.68182E-03 1.25127E-01  2.23114E-46  2.18751E-46  2.21311E-46 0.00000E+00 0.00000E+00 
5.41919E+01 8.78283E-03 1.22991E-01  2.28332E-46  2.23867E-46  2.26486E-46 0.00000E+00 0.00000E+00 
5.41919E+01 8.88384E-03 1.20921E-01  2.33610E-46  2.29042E-46  2.31722E-46 0.00000E+00 0.00000E+00 
6.30303E+01 8.88384E-03 1.25673E-01  1.73552E-46  1.70158E-46  1.72149E-46 0.00000E+00 0.00000E+00 
5.41919E+01 8.98485E-03 1.18905E-01  2.38948E-46  2.34276E-46  2.37017E-46 0.00000E+00 0.00000E+00 
6.30303E+01 8.98485E-03 1.23051E-01  1.77518E-46  1.74047E-46  1.76083E-46 0.00000E+00 0.00000E+00 
5.41919E+01 9.08586E-03 1.16946E-01  2.44347E-46  2.39568E-46  2.42371E-46 0.00000E+00 0.00000E+00 
6.30303E+01 9.08586E-03 1.20514E-01  1.81530E-46  1.77980E-46  1.80062E-46 0.00000E+00 0.00000E+00 
5.41919E+01 9.18687E-03 1.15040E-01  2.49805E-46  2.44920E-46  2.47786E-46 0.00000E+00 0.00000E+00 
6.30303E+01 9.18687E-03 1.18060E-01  1.85586E-46  1.81957E-46  1.84086E-46 0.00000E+00 0.00000E+00 
5.41919E+01 9.28788E-03 1.13185E-01  2.55324E-46  2.50331E-46  2.53260E-46 0.00000E+00 0.00000E+00 
6.30303E+01 9.28788E-03 1.15685E-01  1.89687E-46  1.85977E-46  1.88153E-46 0.00000E+00 0.00000E+00 
6.30303E+01 9.38889E-03 1.13377E-01  1.93832E-46  1.90042E-46  1.92265E-46 0.00000E+00 0.00000E+00 
5.38384E+01 1.01970E-02 1.27060E-01  3.11677E-46  3.05582E-46  3.09157E-46 0.00000E+00 0.00000E+00 
5.38384E+01 1.02980E-02 1.25234E-01  3.17875E-46  3.11659E-46  3.15306E-46 0.00000E+00 0.00000E+00 
5.38384E+01 1.03990E-02 1.23453E-01  3.24135E-46  3.17796E-46  3.21515E-46 0.00000E+00 0.00000E+00 
5.38384E+01 1.05000E-02 1.21713E-01  3.30455E-46  3.23993E-46  3.27784E-46 0.00000E+00 0.00000E+00 
